name,building_name,floor,room,category,description
PCL,성의회관,13F,1321,연구,
PCL혈액원,성의회관,13F,1310,연구,
START센터,성의회관,8F,,교육,시뮬레이션
Veritas라운지,성의회관,7F,,편의,
가톨릭세포치료사업단,성의회관,2F,2016,연구,
가톨릭세포치료사업단,성의회관,2F,2021,연구,
가톨릭정밀의학연구센터,성의회관,3F,3017,연구,
감염내과,성의회관,4F,4001,진료,
강의실,성의회관,7F,701~710,교육,
게스트하우스,성의회관,14F,1404~1410,숙박,포스텍 기숙사
게스트하우스,성의회관,14F,1413~1421,숙박,학교관리 개인사용
공동기기실,성의회관,13F,1319,연구,
공동기기실,성의회관,12F,1214,연구,
공동실험실,성의회관,12F,1209,연구,
공실,성의회관,2F,2017,시설,
공실,성의회관,4F,4003,시설,
공실,성의회관,4F,4008,시설,
공실,성의회관,4F,4011,시설,
공실,성의회관,4F,4012,시설,
공실,성의회관,5F,5001,시설,
공실,성의회관,5F,5009,시설,
공실,성의회관,5F,5011,시설,
공유오피스,성의회관,13F,1304,기업,포스텍
공조설비,성의회관,2F,2004,시설,"AHU-3, AHU-4"
공조실,성의회관,2F,2007,시설,
관절면역질환T2B센터,성의회관,2F,2018,연구,
교수실,성의회관,14F,1416,사무,성기헌교수
교수실,성의회관,14F,1417,사무,백종호교수
교수실,성의회관,14F,1418,사무,박은호교수
교수실,성의회관,14F,1419,사무,김평만교수
교수실,성의회관,14F,1420,사무,김수정교수
교수실,성의회관,14F,1421,사무,최진일교수
교수실,성의회관,13F,1301,사무,김정훈교수
교수실,성의회관,13F,1306,사무,조동우교수
교수실,성의회관,13F,1308,사무,김동성교수
교수실,성의회관,12F,1203,사무,"문석호,김형함"
교수실,성의회관,12F,1206,사무,김성원
교수실,성의회관,12F,1208,사무,"박성민,양승호"
교수실,성의회관,12F,1215,사무,"이승철,김도현"
기계실,성의회관,B1F,,시설,
기능성세포치료센터,성의회관,5F,5006,연구,
기능성세포치료센터,성의회관,5F,Jan-08,연구,오일환 교수
남자미화탈의실,성의회관,2F,2015,시설,
내분비내과,성의회관,4F,4002,진료,
논문심사실,성의회관,3F,312,교육,
대강당,성의회관,2F,2014,교육,
동위원소실,성의회관,8F,,연구,
로비,성의회관,1F,,공용,
류마티스센터,성의회관,5F,5017,연구,
맵스젠연구소,성의회관,13F,1309-4,기업,
방사선조사실,성의회관,7F,,연구,
부원장실,성의회관,12F,1217,행정,윤승규
