name,campus,building,floor,category,description,hours

신장내과임상연구지원실,성의교정,대학본관,B1,연구,"공실",""
혈액병원임상연구지원실,성의교정,대학본관,B1,연구,"",""
성의문화사,성의교정,대학본관,B1,편의,"",""

평생교육원강의실,성의교정,대학본관,B1,교육,"",""
전산교육실,성의교정,대학본관,B1,교육,"",""

CPR교육실,성의교정,대학본관,B1,교육,"심폐소생술",""
CPR교육사무실,성의교정,대학본관,B1,사무,"",""

시설팀,성의교정,대학본관,B1,사무,"",""
영선반,성의교정,대학본관,B1,시설,"",""

안은행,성의교정,대학본관,B1,시설,"안구은행",""

임상연구코디네이터실1,성의교정,대학본관,B1,연구,"CRC1",""
임상연구코디네이터실2,성의교정,대학본관,B1,연구,"CRC2",""
임상연구코디네이터실3,성의교정,대학본관,B1,연구,"CRC3",""

초저온냉동고저장실,성의교정,대학본관,B1,시설,"",""

신경과임상연구실,성의교정,대학본관,B1,연구,"신경심리검사 포함",""

기계실,성의교정,대학본관,B1,시설,"",""
정맥Unit,성의교정,대학본관,B1,의료,"",""

급식실사무실,성의교정,대학본관,B1,사무,"",""
병동지원Unit,성의교정,대학본관,B1,의료,"",""

혈액병원운영팀,성의교정,대학본관,B1,사무,"전문간호사실6",""

구CRC실,성의교정,대학본관,B1,연구,"",""
영성부회합실,성의교정,대학본관,B1,공용,"",""

대건사무실,성의교정,대학본관,B1,사무,"",""
노동조합,성의교정,대학본관,B1,사무,"전국민노동조합",""

병원통합행정사무실,성의교정,대학본관,1,행정,"",""

총무팀,성의교정,대학본관,1,행정,"",""
구매관리팀,성의교정,대학본관,1,행정,"",""
고객행복팀,성의교정,대학본관,1,행정,"",""
기획팀,성의교정,대학본관,1,행정,"",""
재무팀,성의교정,대학본관,1,행정,"",""
평생건강증진팀,성의교정,대학본관,1,행정,"",""
노사협력팀,성의교정,대학본관,1,행정,"",""
인사팀,성의교정,대학본관,1,행정,"",""

의료윤리사무국,성의교정,대학본관,1,행정,"사전연명치료 상담",""

106호회의실,성의교정,대학본관,1,공용,"",""
회의실5,성의교정,대학본관,1,공용,"",""
회의실116,성의교정,대학본관,1,공용,"",""
회의실117,성의교정,대학본관,1,공용,"",""
회의실118,성의교정,대학본관,1,공용,"",""

택배보관실,성의교정,대학본관,1,편의,"119호",""

진료협력팀,성의교정,대학본관,1,행정,"",""
진료협력팀회의실,성의교정,대학본관,1,공용,"",""
진료협력팀창고,성의교정,대학본관,1,시설,"",""
진료협력팀갱의실,성의교정,대학본관,1,편의,"",""

암병원회의실1,성의교정,대학본관,1,공용,"",""

소아완화의료팀,성의교정,대학본관,1,의료,"솔솔바람",""

생명사랑위기대응센터,성의교정,대학본관,1,의료,"",""
생명사랑상담실,성의교정,대학본관,1,의료,"",""

학생식당,성의교정,대학본관,1,편의,"",""
직원식당,성의교정,대학본관,1,편의,"",""

노조사무실,성의교정,대학본관,1,사무,"",""
name,campus,building,floor,zone,category,description,hours

원장실,성의교정,대학본관,2,병원,행정,"의료원 보직자실","내원객 안내 금지"
부원장실,성의교정,대학본관,2,병원,행정,"","내원객 안내 금지"
비서실,성의교정,대학본관,2,병원,행정,"","내원객 안내 금지"
영성부장실,성의교정,대학본관,2,병원,행정,"","내원객 안내 금지"
원목사무실,성의교정,대학본관,2,병원,행정,"영성부장실 포함","내원객 안내 금지"

회의실,성의교정,대학본관,2,병원,공용,"",""
공용창고,성의교정,대학본관,2,병원,시설,"공사 예정",""
연구실,성의교정,대학본관,2,병원,연구,"",""
임상교수실,성의교정,대학본관,2,병원,사무,"",""

정보전략팀,성의교정,대학본관,2,병원,행정,"서울성모병원",""
정보보호팀,성의교정,대학본관,2,병원,행정,"",""
의료데이터중심병원사무국,성의교정,대학본관,2,병원,행정,"총괄",""
소회의실,성의교정,대학본관,2,병원,공용,"",""
대회의실,성의교정,대학본관,2,병원,공용,"",""

정보융합진흥원,성의교정,대학본관,2,학교,행정,"",""
정보융합진흥원장실,성의교정,대학본관,2,학교,행정,"",""
대외협력부원장실,성의교정,대학본관,2,학교,행정,"",""

정보전략기획팀,성의교정,대학본관,2,학교,행정,"",""
정보융합연구팀,성의교정,대학본관,2,학교,연구,"",""
정보운영팀,성의교정,대학본관,2,학교,행정,"",""
정보융합팀,성의교정,대학본관,2,학교,연구,"",""
정보보호팀(학교),성의교정,대학본관,2,학교,행정,"",""

정보분석실,성의교정,대학본관,2,학교,연구,"",""
다목적세미나실,성의교정,대학본관,2,학교,교육,"",""
IT사업프로토콜실,성의교정,대학본관,2,학교,연구,"",""

DTx임상인증센터,성의교정,대학본관,2,학교,연구,"",""
연구과제추진실,성의교정,대학본관,2,학교,연구,"",""

빅데이터통합센터1,성의교정,대학본관,2,학교,연구,"",""
빅데이터통합센터2,성의교정,대학본관,2,학교,연구,"",""
빅데이터통합센터3,성의교정,대학본관,2,학교,연구,"",""

회의실(학교),성의교정,대학본관,2,학교,공용,"",""
휴게실,성의교정,대학본관,2,학교,편의,"",""

시청각실201,성의교정,대학본관,2,학교,교육,"201호",""
시청각실202,성의교정,대학본관,2,학교,교육,"202호",""

간호대학강의실203,성의교정,대학본관,2,학교,교육,"",""
보건의료경영대학원실습실204,성의교정,대학본관,2,학교,교육,"",""
보건의료경영실습준비실205,성의교정,대학본관,2,학교,교육,"",""
name,campus,building,floor,zone,category,description,hours

라파엘라운지,성의교정,대학본관,3,병원,편의,"노사협력팀 관리",""
GX실,성의교정,대학본관,3,병원,편의,"라파엘라운지 내부",""
공용라운지,성의교정,대학본관,3,병원,편의,"라파엘라운지 내부",""
릴렉스실,성의교정,대학본관,3,병원,편의,"라파엘라운지 내부",""
탕비실,성의교정,대학본관,3,병원,편의,"라파엘라운지 내부",""
