name,campus,building,floor,category,description,hours
name,campus,building,floor,room,category,
APD,성의교정,서울성모병원,1,,진료,
ATM(우리은행),성의교정,서울성모병원,1,금융,현금 인출,상시 이용
ATM(우리은행),성의교정,서울성모병원,3,금융,,
BMT병동,성의교정,서울성모병원,19,병동,19-1,
BMT병동2,성의교정,서울성모병원,19,병동,19-2,
BMT성인병동,성의교정,서울성모병원,20,병동,20-1,
BMT소아병동,성의교정,서울성모병원,20,병동,20-2,
BMT이식병동,성의교정,서울성모병원,19,병동,,
BMT이식병동,성의교정,서울성모병원,20,병동,,
CD등록기,성의교정,서울성모병원,1,편의,영상 CD 등록,야간 일부 운영
CD등록기,성의교정,서울성모병원,3,편의,,
CD발급창구,성의교정,서울성모병원,2,원무,10장 미만,
CT,성의교정,서울성모병원,2,검사,,24시간
HICU,성의교정,서울성모병원,20,중환자실,혈액계 ICU,면회 제한
MICU A,성의교정,서울성모병원,7,중환자실,,
MICU B,성의교정,서울성모병원,7,중환자실,,
MRI,성의교정,서울성모병원,2,검사,,24시간
MTS검사,성의교정,서울성모병원,3,검사,,
NICU A,성의교정,서울성모병원,9,중환자실,,
NICU B,성의교정,서울성모병원,9,중환자실,,
PACS실,성의교정,서울성모병원,2,시설,,
PET-CT,성의교정,서울성모병원,-1,,검사,
PICU,성의교정,서울성모병원,11,중환자실,소아중환자실,10:30~10:50 면회
TPN조제실,성의교정,서울성모병원,6,의료,,
VC센터,성의교정,서울성모병원,4,진료,,
VIP병실,성의교정,서울성모병원,21,병동,21-1,
VVIP병실,성의교정,서울성모병원,21,병동,21-2,
X-RAY,성의교정,서울성모병원,2,검사,,24시간
가정의학과,성의교정,서울성모병원,1,,진료,
가정의학과의국,성의교정,서울성모병원,16,사무,,
가정의학과의국,성의교정,서울성모병원,16,사무,,
간담도암병동,성의교정,서울성모병원,15,병동,15-2,
간담도영상검사,성의교정,서울성모병원,-1,,검사,
간담췌외과,성의교정,서울성모병원,1,,진료,
간담췌외과병동,성의교정,서울성모병원,11,병동,,
간담췌외과병동,성의교정,서울성모병원,15,병동,,
간섬유화검사,성의교정,서울성모병원,3,검사,,
간조직검사,성의교정,서울성모병원,3,검사,,
간초음파,성의교정,서울성모병원,3,검사,,
간클리닉,성의교정,서울성모병원,3,진료,,
간호통합병동,성의교정,서울성모병원,13,병동,13-1,
감마영상검사,성의교정,서울성모병원,-1,,검사,
감염내과,성의교정,서울성모병원,2,진료,예방접종센터 포함,
감염병동,성의교정,서울성모병원,18,병동,혈액암,
갑상선검사,성의교정,서울성모병원,-1,,검사,
갑상선방사선치료실,성의교정,서울성모병원,19,치료,,
갑상선초음파,성의교정,서울성모병원,1,,검사,
개원준비단사무국,성의교정,서울성모병원,4,사무,,
객담검사,성의교정,서울성모병원,1,,검사,
갱년기기능검사,성의교정,서울성모병원,4,검사,,
검사예약,성의교정,서울성모병원,1,원무,검사 예약 접수,평일 08:00~17:30 / 토 08:00~12:00
검사예약창구,성의교정,서울성모병원,3,원무,성형외과 옆,08:00~17:30
결핵검사실,성의교정,서울성모병원,3,검사,,
결핵관리실,성의교정,서울성모병원,12,시설,,
경동맥초음파,성의교정,서울성모병원,1,,검사,
경동맥초음파,성의교정,서울성모병원,4,검사,,
경식도초음파,성의교정,서울성모병원,4,검사,,
경증응급실,성의교정,서울성모병원,1,,진료,
고객상담실,성의교정,서울성모병원,1,원무,법무팀 포함,평일 08:00~16:30
고위험산모집중치료실,성의교정,서울성모병원,9,중환자실,MFICU,
골밀도검사실,성의교정,서울성모병원,2,검사,,08:00~17:00
골수검사실,성의교정,서울성모병원,6,검사,,
골스캔,성의교정,서울성모병원,-1,,검사,
공차,성의교정,서울성모병원,-1,,상업,
과내수술실,성의교정,서울성모병원,3,치료,,
관류스캔,성의교정,서울성모병원,-1,,검사,
관절초음파,성의교정,서울성모병원,2,검사,,
교수라운지,성의교정,서울성모병원,8,편의,,
교정과,성의교정,서울성모병원,4,진료,,
구강악안면외과,성의교정,서울성모병원,4,진료,,
근골격판독실,성의교정,서울성모병원,2,시설,,
근전도검사,성의교정,서울성모병원,2,검사,,
근전도검사,성의교정,서울성모병원,3,검사,신경과,
기계실,성의교정,서울성모병원,-6,,시설,
기계실,성의교정,서울성모병원,6,시설,,
기관지경실,성의교정,서울성모병원,3,검사,,
기능검사실,성의교정,서울성모병원,3,검사,,
기도실,성의교정,서울성모병원,21,시설,,
기립경검사,성의교정,서울성모병원,2,검사,,
기저귀교환대,성의교정,서울성모병원,1,편의,외래약국 앞 화장실,
난임센터검사실,성의교정,서울성모병원,3,검사,,
남산왕돈까스,성의교정,서울성모병원,-1,,상업,
내과의국,성의교정,서울성모병원,18,사무,,
