name,campus,building,floor,zone,category,description,hours

주차장,성의교정,성의회관,B2,공용,시설,"",""
대건미화대기실,성의교정,성의회관,B2,공용,시설,"",""

주차장(B1),성의교정,성의회관,B1,공용,시설,"",""
장애인주차장,성의교정,성의회관,B1,공용,시설,"",""
기계실,성의교정,성의회관,B1,공용,시설,"",""

로비,성의교정,성의회관,1,공용,편의,"",""
마리아홀,성의교정,성의회관,1,공용,공용,"",""
매점,성의교정,성의회관,1,공용,편의,"",""
카페안젤로,성의교정,성의회관,1,공용,편의,"",""
성의문구사,성의교정,성의회관,1,공용,편의,"써니문구",""
꽃집,성의교정,성의회관,1,공용,편의,"",""
안내실,성의교정,성의회관,1,공용,행정,"",""
큐브PC존,성의교정,성의회관,1,공용,편의,"인쇄가능",""

교목실장실,성의교정,성의회관,2,학교,행정,"",""
성당,성의교정,성의회관,2,공용,시설,"",""
교목실,성의교정,성의회관,2,학교,행정,"",""
조정실,성의교정,성의회관,2,공용,시설,"",""
예비군대대본부,성의교정,성의회관,2,학교,행정,"",""
학활지도실,성의교정,성의회관,2,학교,행정,"",""
연구기술지원,성의교정,성의회관,2,학교,연구,"",""
학생상담센터,성의교정,성의회관,2,학교,편의,"",""
외래교수실,성의교정,성의회관,2,학교,사무,"",""
창고,성의교정,성의회관,2,공용,시설,"",""

간호대동창회실,성의교정,성의회관,3,학교,사무,"",""
교수회의실,성의교정,성의회관,3,학교,공용,"",""
강의실,성의교정,성의회관,3,학교,교육,"",""
명예교수실,성의교정,성의회관,3,학교,사무,"",""
간호대학원실습실,성의교정,성의회관,3,학교,교육,"",""
의과대총문회,성의교정,성의회관,3,학교,사무,"",""
논문심사실,성의교정,성의회관,3,학교,교육,"",""
창고(3F),성의교정,성의회관,3,공용,시설,"",""

동아리방,성의교정,성의회관,4,학교,편의,"",""
의학교육지원팀,성의교정,성의회관,4,학교,행정,"",""
남자휴게실,성의교정,성의회관,4,공용,편의,"",""
여자휴게실,성의교정,성의회관,4,공용,편의,"",""
대학원장실,성의교정,성의회관,4,학교,행정,"",""
교육부학장실,성의교정,성의회관,4,학교,행정,"",""
학사지원팀,성의교정,성의회관,4,학교,행정,"",""
방송반,성의교정,성의회관,4,학교,시설,"",""

생명대학원,성의교정,성의회관,5,학교,교육,"",""
소피아강의실,성의교정,성의회관,5,학교,교육,"",""
솔로몬강의실,성의교정,성의회관,5,학교,교육,"",""
의학교육학교실,성의교정,성의회관,5,학교,연구,"",""
MASTER의학교육센터,성의교정,성의회관,5,학교,교육,"",""

행정대학원,성의교정,성의회관,6,학교,교육,"",""
사회복지대학원,성의교정,성의회관,6,학교,교육,"",""
PC실습실,성의교정,성의회관,6,학교,교육,"",""
놀이치료실,성의교정,성의회관,6,학교,교육,"",""
상담심리센터,성의교정,성의회관,6,학교,교육,"",""

총장실,성의교정,성의회관,7,학교,행정,"","내원객 안내 금지"
학장실,성의교정,성의회관,7,학교,행정,"",""
베스타스라운지,성의교정,성의회관,7,학교,편의,"",""
원우회,성의교정,성의회관,7,학교,사무,"",""
특수대학원강의실,성의교정,성의회관,7,학교,교육,"",""
합동강의실,성의교정,성의회관,7,학교,교육,"",""

교육실,성의교정,성의회관,8,학교,교육,"",""
START시뮬레이션센터,성의교정,성의회관,8,학교,교육,"",""
LAB실,성의교정,성의회관,8,학교,연구,"",""
EXAM실,성의교정,성의회관,8,학교,교육,"",""

열람실,성의교정,성의회관,9,공용,편의,"강한성열람실",""
휴게실,성의교정,성의회관,9,공용,편의,"",""
START센터,성의교정,성의회관,9,학교,교육,"",""

의학도서관,성의교정,성의회관,10,공용,교육,"효원도서관",""
단행본실,성의교정,성의회관,10,공용,교육,"",""
전자정보실,성의교정,성의회관,10,공용,교육,"",""
영상자료실,성의교정,성의회관,10,공용,교육,"",""

도서관,성의교정,성의회관,11,공용,교육,"",""
연속간행물실,성의교정,성의회관,11,공용,교육,"",""
복사실,성의교정,성의회관,11,공용,편의,"",""
서가,성의교정,성의회관,11,공용,시설,"",""
사서팀,성의교정,성의회관,11,공용,행정,"",""

포가연구원행정지원팀,성의교정,성의회관,12,학교,행정,"",""
간연구소실험실,성의교정,성의회관,12,학교,연구,"WHO",""
신경외과실험실,성의교정,성의회관,12,학교,연구,"",""
호흡기내과실험실,성의교정,성의회관,12,학교,연구,"",""
성형외과실험실,성의교정,성의회관,12,학교,연구,"",""
이비인후과실험실,성의교정,성의회관,12,학교,연구,"김성원",""
창의시스템의학연구센터,성의교정,성의회관,12,학교,연구,"",""
교수연구실,성의교정,성의회관,12,학교,연구,"",""
윤승규교수실,성의교정,성의회관,12,학교,사무,"부원장실",""

포스텍AI대학원,성의교정,성의회관,13,학교,교육,"",""
포스텍방문교수실,성의교정,성의회관,13,학교,사무,"",""
포스텍총장실,성의교정,성의회관,13,학교,행정,"",""
교수실,성의교정,성의회관,13,학교,사무,"",""
의료용고분자실험실,성의교정,성의회관,13,학교,연구,"",""
IMS실험실,성의교정,성의회관,13,학교,연구,"",""
순환기내과실험실,성의교정,성의회관,13,학교,연구,"",""
옴니아메드,성의교정,성의회관,13,학교,기업,"",""
피씨엘,성의교정,성의회관,13,학교,기업,"",""
플럼라인생명과학,성의교정,성의회관,13,학교,기업,"",""

게스트하우스,성의교정,성의회관,14,공용,숙박,"",""
생활의쉼터,성의교정,성의회관,14,공용,편의,"",""
연구실,성의교정,성의회관,14,학교,연구,"",""
