name,campus,building,floor,room,category
교수실,성의교정,옴니버스파크A,8,,사무
미생물학교실,성의교정,옴니버스파크A,8,8108,연구실
예방의학교실,성의교정,옴니버스파크A,8,8109,연구실
학과사무실,성의교정,옴니버스파크A,8,8122,사무
의생명과학교실,성의교정,옴니버스파크A,8,8126,연구실
의학통계연구실,성의교정,옴니버스파크A,8,8125,연구실
학과사무실,성의교정,옴니버스파크A,8,8106,사무
세미나실,성의교정,옴니버스파크A,8,8107,공용
세미나실,성의교정,옴니버스파크A,8,8123,공용
전자파실험실,성의교정,옴니버스파크A,8,8128,실험실
특수실험실,성의교정,옴니버스파크A,8,8127,실험실
멸균실,성의교정,옴니버스파크A,8,8134,실험실
세포배양실,성의교정,옴니버스파크A,8,,실험실
초저온냉동고실,성의교정,옴니버스파크A,8,8135,실험실

교수실,성의교정,옴니버스파크A,7,,사무
생화학교실,성의교정,옴니버스파크A,7,7106,연구실
의료정보학교실,성의교정,옴니버스파크A,7,7108,연구실
해부학교실,성의교정,옴니버스파크A,7,,연구실
법의학교실,성의교정,옴니버스파크A,7,7123,연구실
세미나실,성의교정,옴니버스파크A,7,7107,공용
세미나실,성의교정,옴니버스파크A,7,7122,공용
멸균실,성의교정,옴니버스파크A,7,7129,실험실
초저온냉동고실,성의교정,옴니버스파크A,7,7130,실험실
학과사무실,성의교정,옴니버스파크A,7,7121,사무

교수실,성의교정,옴니버스파크A,6,,사무
의료정보학교실,성의교정,옴니버스파크A,6,6107,연구실
의생명과학교실,성의교정,옴니버스파크A,6,6108,연구실
생리학교실,성의교정,옴니버스파크A,6,6109,연구실
약리학교실,성의교정,옴니버스파크A,6,6123,연구실
기생충학교실,성의교정,옴니버스파크A,6,6122,연구실
예방의학교실,성의교정,옴니버스파크A,6,6121,연구실
세미나실,성의교정,옴니버스파크A,6,6106,공용
세미나실,성의교정,옴니버스파크A,6,6124,공용
멸균실,성의교정,옴니버스파크A,6,6131,실험실
세포배양실,성의교정,옴니버스파크A,6,,실험실
초저온냉동고실,성의교정,옴니버스파크A,6,6132,실험실

교수실,성의교정,옴니버스파크A,5,,사무
병리학교실,성의교정,옴니버스파크A,5,5108,연구실
의생명과학교실,성의교정,옴니버스파크A,5,5123,연구실
의공학교실,성의교정,옴니버스파크A,5,,연구실
학과사무실,성의교정,옴니버스파크A,5,5106,사무
학과사무실,성의교정,옴니버스파크A,5,5121,사무
세미나실,성의교정,옴니버스파크A,5,5107,공용
세미나실,성의교정,옴니버스파크A,5,5122,공용
멸균실,성의교정,옴니버스파크A,5,5129,실험실
세포배양실,성의교정,옴니버스파크A,5,,실험실
초저온냉동고실,성의교정,옴니버스파크A,5,5130,실험실

공동연구지원센터,성의교정,옴니버스파크A,4,,시설
공동기기실,성의교정,옴니버스파크A,4,4101,실험실
박테리아실험실,성의교정,옴니버스파크A,4,4102,실험실
전자현미경실,성의교정,옴니버스파크A,4,4106,실험실
의공학실,성의교정,옴니버스파크A,4,4107,실험실
개방형실험존,성의교정,옴니버스파크A,4,4120,실험실
방사성동위원소실,성의교정,옴니버스파크A,4,4103,실험실
암실,성의교정,옴니버스파크A,4,4104,실험실
바이러스실험실,성의교정,옴니버스파크A,4,4105,실험실
교육실,성의교정,옴니버스파크A,4,4108,공용
저온실,성의교정,옴니버스파크A,4,4109,실험실
원심분리기실,성의교정,옴니버스파크A,4,4121,실험실
멸균실,성의교정,옴니버스파크A,4,4122,실험실
초저온냉동고실,성의교정,옴니버스파크A,4,4123,실험실

멸균실,성의교정,옴니버스파크A,3,,실험실
세포배양실,성의교정,옴니버스파크A,3,,실험실
초저온냉동고실,성의교정,옴니버스파크A,3,,실험실
루카스바이오,성의교정,옴니버스파크A,3,,기업
삼일제약,성의교정,옴니버스파크A,3,,기업
유한양행,성의교정,옴니버스파크A,3,,기업
엠젠솔루션,성의교정,옴니버스파크A,3,,기업

의과대학장실,성의교정,옴니버스파크A,2,,사무
동문회사무실,성의교정,옴니버스파크A,2,,사무
교수회의실,성의교정,옴니버스파크A,2,,공용
안전물품보관실,성의교정,옴니버스파크A,2,,시설
멸균실,성의교정,옴니버스파크A,2,,실험실
세포배양실,성의교정,옴니버스파크A,2,,실험실
초저온냉동고실,성의교정,옴니버스파크A,2,,실험실
조혈모세포은행,성의교정,옴니버스파크A,2,,시설
iKooB,성의교정,옴니버스파크A,2,,기업
마스터센터,성의교정,옴니버스파크A,1,1001,시설
대강의실1,성의교정,옴니버스파크A,1,1005,강의실
대강의실2,성의교정,옴니버스파크A,1,1013,강의실
TBL실1,성의교정,옴니버스파크A,1,1006,강의실
TBL실2,성의교정,옴니버스파크A,1,1014,강의실
PBL실1,성의교정,옴니버스파크A,1,1009,강의실
PBL실2,성의교정,옴니버스파크A,1,1010,강의실
PBL실3,성의교정,옴니버스파크A,1,1011,강의실
PBL실4,성의교정,옴니버스파크A,1,1012,강의실
아이디어존,성의교정,옴니버스파크A,1,1022,공용
플레이그라운드2,성의교정,옴니버스파크A,1,1028,공용
탁구장,성의교정,옴니버스파크A,1,1028,공용

북촌손만두,성의교정,옴니버스파크A,1,,상업
제주면장,성의교정,옴니버스파크A,1,,상업
와싱톤돈까스,성의교정,옴니버스파크A,1,,상업
이천가든,성의교정,옴니버스파크A,1,,상업
아비꼬,성의교정,옴니버스파크A,1,,상업
송곡불냉면,성의교정,옴니버스파크A,1,,상업
가락공장,성의교정,옴니버스파크A,1,,상업
더팔당,성의교정,옴니버스파크A,1,,상업
웰컴바,성의교정,옴니버스파크A,1,,상업

휴게실(남),성의교정,옴니버스파크A,1,1002,편의
휴게실(여),성의교정,옴니버스파크A,1,1003,편의
보안휴게실,성의교정,옴니버스파크A,1,1008,편의
인포멀러닝스페이스,성의교정,옴니버스파크A,1,,공용
종합실습실1,성의교정,옴니버스파크A,3,L3035,실습실
종합실습실2,성의교정,옴니버스파크A,3,L3034,실습실
종합실습실3,성의교정,옴니버스파크A,3,L3032,실습실
농구장,성의교정,옴니버스파크A,3,L3037,공용

입주기업회의실1,성의교정,옴니버스파크A,3,L3006,공용
입주기업회의실2,성의교정,옴니버스파크A,3,L3007,공용
입주기업회의실3,성의교정,옴니버스파크A,3,L3008,공용
회의실4,성의교정,옴니버스파크A,3,L3021,공용

세포배양실,성의교정,옴니버스파크A,3,L3010,실험실
초저온냉동고실1,성의교정,옴니버스파크A,3,L3009,실험실
초저온냉동고실2,성의교정,옴니버스파크A,3,L3020,실험실

공동기기실1,성의교정,옴니버스파크A,3,L3012,실험실
공동기기실2,성의교정,옴니버스파크A,3,L3013,실험실
공동기기실3,성의교정,옴니버스파크A,3,L3014,실험실

탑셀바이오,성의교정,옴니버스파크A,3,L3002,기업
디지털팜,성의교정,옴니버스파크A,3,L3003,기업
iKooB,성의교정,옴니버스파크A,3,L3003,기업
종근당,성의교정,옴니버스파크A,3,L3004,기업
바이오백신연구소,성의교정,옴니버스파크A,3,L3022,기업

공용장비실1,성의교정,옴니버스파크A,3,L3018,실험실
공용장비실2,성의교정,옴니버스파크A,3,L3019,실험실

다림티센,성의교정,옴니버스파크A,3,L3023,기업
진코어,성의교정,옴니버스파크A,3,L3024,기업
CLIPS BNC,성의교정,옴니버스파크A,3,L3029,기업

보안휴게실,성의교정,옴니버스파크A,3,L3005,편의
미화휴게실,성의교정,옴니버스파크A,3,L3030,편의
산단구매관리팀창고,성의교정,옴니버스파크A,3,L3027,시설
성의교정구매창고,성의교정,옴니버스파크A,3,L3028,시설
미화휴게실(여),성의교정,옴니버스파크A,2,L2002,편의
입셀1,성의교정,옴니버스파크A,2,L2003,기업
입셀2,성의교정,옴니버스파크A,2,L2004,기업
입셀3,성의교정,옴니버스파크A,2,L2005,기업
입셀4,성의교정,옴니버스파크A,2,L2006,기업
입셀5,성의교정,옴니버스파크A,2,L2007,기업
입셀6,성의교정,옴니버스파크A,2,L2008,기업
입셀7,성의교정,옴니버스파크A,2,L2009,기업
입셀8,성의교정,옴니버스파크A,2,L2010,기업
입셀9,성의교정,옴니버스파크A,2,L2011,기업
입셀10,성의교정,옴니버스파크A,2,L2012,기업
입셀11,성의교정,옴니버스파크A,2,L2013,기업
입셀12,성의교정,옴니버스파크A,2,L2014,기업
입셀13,성의교정,옴니버스파크A,2,L2015,기업
입셀14,성의교정,옴니버스파크A,2,L2016,기업
입셀15,성의교정,옴니버스파크A,2,L2017,기업
입셀16,성의교정,옴니버스파크A,2,L2018,기업
입셀17,성의교정,옴니버스파크A,2,L2019,기업
입셀18,성의교정,옴니버스파크A,2,L2020,기업
입셀19,성의교정,옴니버스파크A,2,L2021,기업
입셀20,성의교정,옴니버스파크A,2,L2022,기업
입셀21,성의교정,옴니버스파크A,2,L2023,기업
입셀22,성의교정,옴니버스파크A,2,L2024,기업
입셀23,성의교정,옴니버스파크A,2,L2025,기업
입셀24,성의교정,옴니버스파크A,2,L2026,기업
입셀25,성의교정,옴니버스파크A,2,L2027,기업

러닝그라운드1,성의교정,옴니버스파크A,2,L2041,공용
러닝그라운드2,성의교정,옴니버스파크A,2,L2042,공용
그라운드라운지,성의교정,옴니버스파크A,2,L2043,공용
CBT실,성의교정,옴니버스파크A,2,L2029,강의실
미화갱의실,성의교정,옴니버스파크A,2,L2030,시설
사무실5,성의교정,옴니버스파크A,2,L2031,사무
방송실,성의교정,옴니버스파크A,2,L2032,시설
H키친예약상담실,성의교정,옴니버스파크A,2,L2036,사무
사무실2,성의교정,옴니버스파크A,2,L2037,사무
인권센터회의실,성의교정,옴니버스파크A,2,L2038,공용
구매관재팀검수실,성의교정,옴니버스파크A,2,L2039,시설
창고,성의교정,옴니버스파크A,2,L2040,시설
컨벤션홀,성의교정,옴니버스파크A,0,,시설
보안실,성의교정,옴니버스파크A,0,L027,시설
통신실,성의교정,옴니버스파크A,0,L001,시설
방재실,성의교정,옴니버스파크A,0,L002,시설
시청각지원실,성의교정,옴니버스파크A,0,L017,시설
탈의실(남),성의교정,옴니버스파크A,0,L018,편의
탈의실(여),성의교정,옴니버스파크A,0,L019,편의

회의실1,성의교정,옴니버스파크A,0,L003,공용
회의실2,성의교정,옴니버스파크A,0,L004,공용
회의실3,성의교정,옴니버스파크A,0,L005,공용
회의실4,성의교정,옴니버스파크A,0,L006,공용
회의실5,성의교정,옴니버스파크A,0,L007,공용
회의실6,성의교정,옴니버스파크A,0,L008,공용

플렌티카페,성의교정,옴니버스파크A,0,L009,편의
홍보관,성의교정,옴니버스파크A,0,L010,시설
스타보틀,성의교정,옴니버스파크A,0,L011,상업
편의점,성의교정,옴니버스파크A,0,L012,편의
꽃집,성의교정,옴니버스파크A,0,L012,상업
지하주차장,성의교정,옴니버스파크A,-4,,시설
보안갱의실,성의교정,옴니버스파크A,-4,,시설
미화갱의실,성의교정,옴니버스파크A,-4,B4001,시설
재활용폐기물보관창고,성의교정,옴니버스파크A,-4,B4002,시설
동물실험실창고,성의교정,옴니버스파크A,-4,B4003,시설
지정폐기물보관창고,성의교정,옴니버스파크A,-4,B4006,시설
방사성동위원소폐수조,성의교정,옴니버스파크A,-4,B4007,시설
압축공기장비실,성의교정,옴니버스파크A,-4,B4009,시설

창고1,성의교정,옴니버스파크A,-4,,시설
창고2,성의교정,옴니버스파크A,-4,,시설
창고3,성의교정,옴니버스파크A,-4,,시설
창고4,성의교정,옴니버스파크A,-4,,시설
창고5,성의교정,옴니버스파크A,-4,,시설
창고6,성의교정,옴니버스파크A,-4,,시설
창고7,성의교정,옴니버스파크A,-4,,시설
창고8,성의교정,옴니버스파크A,-4,,시설
창고9,성의교정,옴니버스파크A,-4,,시설
창고10,성의교정,옴니버스파크A,-4,,시설
지하주차장,성의교정,옴니버스파크A,-5,,시설
창고1,성의교정,옴니버스파크A,-5,,시설
창고2,성의교정,옴니버스파크A,-5,,시설
창고3,성의교정,옴니버스파크A,-5,,시설
창고4,성의교정,옴니버스파크A,-5,,시설
창고5,성의교정,옴니버스파크A,-5,,시설
창고6,성의교정,옴니버스파크A,-5,,시설
창고7,성의교정,옴니버스파크A,-5,,시설

정화조관리실,성의교정,옴니버스파크A,-5,B5001,시설
소화가스실,성의교정,옴니버스파크A,-5,B5004,시설
집수정실,성의교정,옴니버스파크A,-5,B5008,시설
팬룸,성의교정,옴니버스파크A,-5,B5007,시설
DA실,성의교정,옴니버스파크A,-5,B5011,시설
기계실,성의교정,옴니버스파크A,-6,B6001,시설
기계용원실,성의교정,옴니버스파크A,-6,B6004,시설
탈의실,성의교정,옴니버스파크A,-6,B6005,편의
전기실,성의교정,옴니버스파크A,-6,B6006,시설
발전기실,성의교정,옴니버스파크A,-6,B6007,시설
전기용원실,성의교정,옴니버스파크A,-6,B6010,시설
