name,campus,building,floor,zone,category,description
한센병연구소,성의교정,의산연별관,1,연구,연구,""
안내실,성의교정,의산연별관,1,공용,편의,""
법의학교실,성의교정,의산연별관,2,연구,연구,""
미세수술실습실,성의교정,의산연별관,2,교육,실습,""
강의실,성의교정,의산연별관,2,교육,강의,""
국립과학수사연구소,성의교정,의산연별관,2,연구,연구,"부검실/조직은행"
지역법의관사무소,성의교정,의산연별관,2,행정,사무,""
공공조직은행,성의교정,의산연별관,2,연구,연구,"서울성모조직은행"
저온실,성의교정,의산연별관,3,연구,시설,"시신보관"
해부실습실,성의교정,의산연별관,3,교육,실습,""
모의수술실습실,성의교정,의산연별관,3,교육,실습,""
실습준비실,성의교정,의산연별관,3,교육,시설,""
응용해부연구소,성의교정,의산연별관,4,연구,연구,""
표본전시실,성의교정,의산연별관,4,연구,시설,""
합성수지작업실,성의교정,의산연별관,4,연구,시설,""
디지털휴먼연구실,성의교정,의산연별관,4,연구,연구,""
임시봉안당,성의교정,의산연별관,4,공용,시설,""
뇌은행,성의교정,의산연별관,4,연구,연구,""
